,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio,products_per_dependent,trans_amt_per_dependent,trans_ct_per_dependent,trans_amt_per_products,trans_ct_per_products,avg_trans_amt,credit_util_rate,proportion_inactive_months,products_per_tenure,products_per_contacts,dependents_per_contacts,trans_ct_per_contacts,products_per_inactivity,dependents_per_inactivity,trans_ct_per_inactivity,trans_amt_per_credit_limit,age_per_tenure,trans_ct_per_tenure,trans_amt_per_tenure,total_spending,inactivity_contacts,education_income_levels,churn_flag
32,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,1.0,397.25,6.0,397.25,6.0,66.208336,0.28208002,0.027777778,0.11111111,2.0,2.0,12.0,4.0,4.0,24.0,0.17807913,1.1388888,0.6666667,44.13889,4106,3,3,0
33,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,2.5,705.5,14.0,282.2,5.6,50.392857,0.56226414,0.05263158,0.13157895,1.6666666,0.6666667,9.333333,2.5,1.0,14.0,0.5324528,1.3947369,0.7368421,37.13158,2901,5,0,0
34,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0.0,0.0,0.0,215.16667,4.0,53.791668,0.13508563,0.040816326,0.12244898,3.0,0.0,12.0,3.0,0.0,12.0,0.10282756,1.1836735,0.48979592,26.34694,2987,4,4,0
35,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,4.0,1407.0,43.0,351.75,10.75,32.720932,0.54375,0.055555556,0.11111111,4.0,1.0,43.0,2.0,0.5,21.5,0.3997159,1.5277778,1.1944444,39.083332,3321,3,0,0
36,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,2.0,625.6667,12.333333,312.83334,6.1666665,50.72973,0.7571664,0.055555556,0.16666667,2.0,1.0,12.333333,3.0,1.5,18.5,0.6184514,1.5277778,1.0277778,52.13889,4175,5,1,0
37,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0.5,241.5,5.5,483.0,11.0,43.909092,0.0,0.083333336,0.055555556,0.6666667,1.3333334,7.3333335,0.6666667,1.3333334,7.3333335,0.06259315,1.1666666,0.6111111,26.833334,966,6,0,0
38,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,3.0,1464.0,28.0,488.0,9.333333,52.285713,0.2412854,0.06122449,0.06122449,1.5,0.5,14.0,1.0,0.33333334,9.333333,0.39869282,1.1632653,0.5714286,29.87755,2350,5,2,0
39,66,F,0,Doctorate,Married,Less than $40K,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0.0,0.0,0.0,140.8,3.2,44.0,0.07675717,0.071428575,0.08928572,1.6666666,0.0,5.3333335,1.25,0.0,4.0,0.08931743,1.1785715,0.2857143,12.571428,1309,7,2,1
40,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0.6666667,369.66666,9.333333,554.5,14.0,39.607143,0.017825201,0.048780486,0.048780486,1.0,1.5,14.0,1.0,1.5,14.0,0.03420095,1.097561,0.68292683,27.04878,1687,4,4,0
41,51,M,2,Graduate,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,2.0,673.5,14.0,336.75,7.0,48.107143,0.35519743,0.022727273,0.09090909,0.0,0.0,0.0,4.0,2.0,28.0,0.21708299,1.1590909,0.6363636,30.613636,3551,1,2,0
42,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,3.0,1756.0,33.0,585.3333,11.0,53.21212,0.1454577,0.046511628,0.069767445,1.0,0.33333334,11.0,1.5,0.5,16.5,0.101479426,1.1627907,0.76744187,40.837208,4273,5,1,0
43,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,1.6666666,585.3333,10.666667,351.2,6.4,54.875,0.0,0.054054055,0.13513513,5.0,3.0,32.0,2.5,1.5,16.0,0.44956478,1.3243244,0.8648649,47.45946,1756,3,2,0
44,38,F,4,Graduate,Single,Less than $40K,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0.5,260.5,5.75,521.0,11.5,45.304348,0.20905392,0.10714286,0.071428575,0.6666667,1.3333334,7.6666665,0.6666667,1.3333334,7.6666665,0.10600203,1.3571428,0.8214286,37.214287,3097,6,1,0
45,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0.75,361.0,7.0,481.33334,9.333333,51.57143,0.0,0.06666667,0.1,1.0,1.3333334,9.333333,1.5,2.0,14.0,0.04183567,1.6333333,0.93333334,48.133335,1444,5,3,0
46,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,3.0,870.5,13.5,290.16666,4.5,64.48148,0.6263688,0.044444446,0.13333334,0.0,0.0,0.0,3.0,1.0,13.5,0.7625931,1.2444445,0.6,38.68889,3171,2,4,0
47,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,3.0,1719.0,27.0,573.0,9.0,63.666668,0.7927787,0.03846154,0.057692308,1.5,0.5,13.5,1.5,0.5,13.5,0.6746468,1.1346154,0.5192308,33.057693,3739,4,3,0
48,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,1.3333334,405.66666,9.0,304.25,6.75,45.074074,0.07374859,0.075,0.1,1.3333334,1.0,9.0,1.3333334,1.0,9.0,0.06254497,1.15,0.675,30.425,2652,6,3,0
49,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,5.0,1140.0,40.0,228.0,8.0,28.5,0.258588,0.025,0.125,5.0,1.0,40.0,5.0,1.0,40.0,0.2402529,1.3,1.0,28.5,2367,2,3,0
50,52,F,3,Graduate,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,2.0,626.0,10.0,313.0,5.0,62.6,0.5907704,0.07317073,0.14634146,3.0,1.5,15.0,2.0,1.0,10.0,0.71624714,1.2682927,0.73170733,45.80488,3427,5,1,0
51,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,2.0,705.0,19.0,352.5,9.5,37.105263,0.5617743,0.075,0.05,2.0,1.0,19.0,0.6666667,0.33333334,6.3333335,0.490162,1.35,0.475,17.625,1513,4,1,1
52,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0.0,0.0,0.0,648.6667,12.666667,51.210526,0.6871649,0.074074075,0.055555556,1.5,0.0,19.0,0.75,0.0,9.5,0.61368656,1.2222222,0.7037037,36.037037,4125,6,0,0
53,49,M,2,Graduate,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,2.0,707.0,17.5,353.5,8.75,40.4,0.12735921,0.055555556,0.11111111,0.0,0.0,0.0,2.0,1.0,17.5,0.07154784,1.3611112,0.9722222,39.27778,3931,2,5,0
54,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.5,301.0,7.5,602.0,15.0,40.133335,0.0,0.083333336,0.027777778,0.33333334,0.6666667,5.0,0.33333334,0.6666667,5.0,0.038176168,1.5555556,0.41666666,16.722221,602,6,5,1
55,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,1.5,263.0,8.0,175.33333,5.3333335,32.875,0.6670709,0.11111111,0.16666667,3.0,2.0,16.0,1.5,1.0,8.0,0.3189812,1.3611112,0.8888889,29.222221,3252,6,1,0
56,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0.6666667,431.66666,13.333333,647.5,20.0,32.375,0.8433262,0.055555556,0.055555556,0.0,0.0,0.0,1.0,1.5,20.0,0.4621699,1.3611112,1.1111112,35.97222,3658,2,1,0
57,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,2.0,712.0,14.5,356.0,7.25,49.103447,0.42171377,0.04,0.08,1.3333334,0.6666667,9.666667,2.0,1.0,14.5,0.31942576,1.12,0.58,28.48,3304,5,1,0
58,44,F,5,Graduate,Married,Less than $40K,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0.8,271.8,5.0,339.75,6.25,54.36,0.15590626,0.028571429,0.114285715,2.0,2.5,12.5,4.0,5.0,25.0,0.21664275,1.2571429,0.71428573,38.82857,2337,3,1,0
59,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,2.0,584.0,13.5,292.0,6.75,43.25926,0.5254796,0.11764706,0.11764706,1.3333334,0.6666667,9.0,1.0,0.5,6.75,0.35011992,1.2352941,0.7941176,34.35294,2921,7,2,0
60,55,M,3,Graduate,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,1.3333334,365.66666,11.0,274.25,8.25,33.242424,0.58672875,0.04255319,0.08510638,1.3333334,1.0,11.0,2.0,1.5,16.5,0.3192666,1.1702127,0.70212764,23.340425,3113,5,4,0
61,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,1.0,345.5,7.5,345.5,7.5,46.066666,0.0,0.114285715,0.057142857,0.5,0.5,3.75,0.5,0.5,3.75,0.0200197,1.3714286,0.42857143,19.742857,691,8,3,1
62,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,5.0,1316.0,28.0,263.2,5.6,47.0,0.21110362,0.09090909,0.15151516,1.6666666,0.33333334,9.333333,1.6666666,0.33333334,9.333333,0.22207223,1.1818181,0.8484849,39.878788,2567,6,2,0
63,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0.5,319.0,6.5,638.0,13.0,49.076923,0.08774053,0.125,0.0625,1.0,2.0,13.0,0.5,1.0,6.5,0.053262096,1.375,0.8125,39.875,3378,6,6,0
64,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,2.0,644.5,11.5,322.25,5.75,56.04348,0.11089996,0.045454547,0.09090909,2.0,1.0,11.5,2.0,1.0,11.5,0.08748473,1.2045455,0.52272725,29.295454,2923,4,4,0
65,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,1.0,323.25,8.0,323.25,8.0,40.40625,0.04389269,0.02631579,0.10526316,1.0,1.0,8.0,4.0,4.0,32.0,0.037460886,1.3421053,0.84210527,34.026318,2808,5,3,0
66,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,2.5,676.5,17.5,270.6,7.0,38.657143,0.27597207,0.057692308,0.09615385,1.6666666,0.6666667,11.666667,1.6666666,0.6666667,11.666667,0.20549817,1.0961539,0.6730769,26.01923,3170,6,2,0
67,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,3.0,566.0,14.0,188.66667,4.6666665,40.42857,0.7044146,0.15,0.3,2.0,0.6666667,9.333333,2.0,0.6666667,9.333333,0.5431862,2.2,1.4,56.6,2600,6,0,0
68,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,1.0,835.0,8.5,835.0,8.5,98.23529,0.65619445,0.0625,0.0625,1.0,1.0,8.5,1.0,1.0,8.5,0.98992294,1.53125,0.53125,52.1875,2777,4,3,0
69,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,3.0,418.5,7.5,139.5,2.5,55.8,0.05256917,0.05263158,0.15789473,3.0,1.0,7.5,3.0,1.0,7.5,0.033083003,1.3157895,0.39473686,22.026316,2167,4,5,0
70,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0.75,387.5,10.25,516.6667,13.666667,37.80488,0.05107776,0.04761905,0.071428575,1.0,1.3333334,13.666667,1.5,2.0,20.5,0.04490671,1.2142857,0.97619045,36.904762,3313,5,5,0
71,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,2.5,770.0,18.0,308.0,7.2,42.77778,0.4666065,0.071428575,0.11904762,1.6666666,0.6666667,12.0,1.6666666,0.6666667,12.0,0.6949459,1.3095238,0.85714287,36.666668,2574,6,1,0
72,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,4.0,1256.0,21.0,314.0,5.25,59.809525,0.6975945,0.046511628,0.093023255,1.3333334,0.33333334,7.0,2.0,0.5,10.5,0.4316151,1.255814,0.4883721,29.209303,3286,5,3,0
73,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,1.2,278.8,7.0,232.33333,5.8333335,39.82857,0.06668703,0.054054055,0.16216215,3.0,2.5,17.5,3.0,2.5,17.5,0.060838826,1.1351352,0.9459459,37.675674,2922,4,3,0
74,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,3.0,1341.0,24.0,447.0,8.0,55.875,0.07946693,0.08571429,0.08571429,1.0,0.33333334,8.0,1.0,0.33333334,8.0,0.05515795,1.2571429,0.6857143,38.314285,3273,6,2,0
75,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,2.5,644.5,16.5,257.8,6.6,39.060608,0.28736722,0.083333336,0.1388889,2.5,1.0,16.5,1.6666666,0.6666667,11.0,0.24449924,1.4722222,0.9166667,35.805557,2804,5,4,0
76,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,1.5,278.0,5.75,185.33333,3.8333333,48.347828,0.35957143,0.11111111,0.16666667,3.0,2.0,11.5,1.5,1.0,5.75,0.15885714,1.2222222,0.6388889,30.88889,3629,6,1,0
77,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,1.3333334,779.6667,19.0,584.75,14.25,41.035088,0.25589657,0.13793103,0.13793103,2.0,1.5,28.5,1.0,0.75,14.25,0.33233872,1.2758621,1.9655173,80.655174,4140,6,0,0
78,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,2.0,489.33334,7.6666665,244.66667,3.8333333,63.826088,0.7188486,0.033333335,0.2,3.0,1.5,11.5,6.0,3.0,23.0,0.57886434,1.6333333,0.76666665,48.933334,3291,3,3,0
